Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Aaron Ashby,676943.0,SL,CH,,,,,,,,,,,,,,,
Ben Lively,607625.0,SL,SL,0.26735219,0.70909091,0.77884615,0.91025641,0.45897079,0.61235955,0.06111111,0.22916667,113.29444965069900,82.79181818181820,0.16292135,0.08426966,44.2,Ben Lively,Exact
Brady Singer,663903.0,SL,SL,0.27111111,0.62536873,0.66393443,0.86320755,0.42965779,0.57575758,0.0887199,0.26996198,102.87067292358000,94.56836734693880,0.21717172,0.09090909,46.2,Brady Singer,Exact
Brandon Pfaadt,694297.0,SL,SL,0.32051282,0.72062663,0.65714286,0.90942029,0.41227126,0.65966387,0.09139785,0.24731183,127.82919195923300,95.86981700753500,0.18487395,0.05882353,56.2,Brandon Pfaadt,Exact
Bryce Elder,682243.0,SL,SL,0.28773585,0.66315789,0.6557377,0.92063492,0.40197461,0.65745856,0.08028169,0.27042254,123.78575715605500,92.501757925072,0.18232044,0.0718232,44.0,Bryce Elder,Exact
Cal Quantrill,663978.0,SK,SK,0.30238095,0.67558528,0.68503937,0.88118812,0.41585535,0.60451977,0.08901252,0.25034771,117.3093966408600,86.18646239554320,0.16384181,0.08474576,41.0,Cal Quantrill,Exact
Chris Sale,519242.0,SL,CH,0.36464088,0.66037736,0.53535354,0.83214286,0.43846949,0.64135021,0.14374354,0.31540848,76.2486662709417,107.4863475546310,0.30379747,0.06329114,54.2,Chris Sale,Exact
Corbin Burnes,669203.0,FC,CU,0.31277533,0.66433566,0.57042254,0.89473684,0.38648649,0.63684211,0.10945946,0.28243243,107.70983660120000,101.87978260869600,0.22631579,0.11578947,45.2,Corbin Burnes,Exact
Dane Dunning,666808.0,SK,SK,0.33529412,0.65,0.56140351,0.80769231,0.4137931,0.50617284,0.13745704,0.29896907,67.631297810106,104.615972222222,0.2345679,0.09876543,21.2,,
Framber Valdez,664285.0,CU,SL,0.32495164,0.67581047,0.54166667,0.89667897,0.43681917,0.61660079,0.11388286,0.28308026,81.21186278878610,106.1499344978170,0.23320158,0.07509881,63.0,Framber Valdez,Exact
Gerrit Cole,543037.0,4S,SL,,,,,,,,,,,,,,,
