Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",58,112.09680216802167,113.09218181818181,94.9674,89.55339805825243,111.01357142857144,125.82137931034482,,,,108.85877412031786,108.33334846765041,117.48787741203178,"Zack Wheeler",10310,554430
"Seth Lugo","KCR",56.2,92.95828282828283,90.92253731343284,93.77806451612904,81.6660606060606,97.91499999999998,110.3268103448276,76.635,,,96.68137529137528,95.87953379953379,91.43648018648017,"Seth Lugo",12447,607625
"Max Fried","NYY",56.2,104.07889196675902,112.12807692307695,108.57172413793103,,105.52175438596491,118.59650793650793,96.40506024096385,,,107.23509781357882,102.18566168009204,109.32163406214039,"Max Fried",13743,608331
"Hunter Brown","HOU",56.2,118.77978260869565,121.41757575757576,106.40736842105264,,92.06881355932202,,90.62487394957984,111.57383333333333,,111.28169884169887,105.29588159588158,115.8253024453024,"Hunter Brown",25880,686613
"Framber Valdez","HOU",56,80.486,93.88296103896104,,,121.17891891891891,131.28007874015748,103.91866666666667,,,108.36058679706603,102.9463080684597,111.7356968215159,"Framber Valdez",17295,664285
"Garrett Crochet","BOS",56,108.66145077720209,97.61701492537314,118.46318367346939,,147.6496875,,82.75551724137932,,,110.79513574660633,92.41678733031675,101.63420814479637,"Garrett Crochet",27463,676979
"Nathan Eovaldi","TEX",55.2,92.18,,89.02585987261148,101.59652892561984,93.29818181818182,108.07944444444446,,,,97.80132850241546,107.73632850241546,104.88451690821253,"Nathan Eovaldi",9132,543135
"Logan Webb","SFG",55.1,108.77525423728811,117.83526946107783,86.81411764705882,,90.84372469635628,,114.76304635761588,,,106.43706293706295,108.48142191142195,112.38104895104895,"Logan Webb",17995,657277
"Carlos Rodón","NYY",54.2,100.23413407821229,102.32315789473685,,,111.56906779661016,98.28931034482758,107.28611940298508,,,104.43671711292205,95.80409778812573,100.1555762514552,"Carlos Rodon",16137,607074
"Paul Skenes","PIT",54.2,98.16718954248365,115.2415873015873,,93.64920930232559,138.10924731182794,110.88979591836734,115.13015384615383,,,108.64901472253679,105.6428765571914,112.09191392978485,"Paul Skenes",33677,694973
"Zack Littell","TBR",54.1,77.88964539007092,79.75835051546392,,103.54814371257486,78.57018450184502,,,,,84.76964391691395,104.87608308605343,93.39468842729971,"Zack Littell",15823,641793
"Kris Bubic","KCR",54.1,103.38805797101449,93.86461538461539,,,86.38348432055749,,101.08013333333334,,,96.55658536585365,104.48282926829266,102.40639024390244,"Kris Bubic",21455,663460
"Spencer Schwellenbach","ATL",54.1,111.62267716535433,113.3438888888889,97.88494845360825,121.11466666666668,107.63845238095239,95.41523809523808,,,,108.61627450980389,107.52105392156865,116.27051470588235,"Spencer Schwellenbach",31846,680885
"Jesús Luzardo","PHI",54,84.48383458646617,104.26622222222224,,,118.03993006993007,,94.13857142857144,,,100.86211212516298,111.89267275097782,113.32761408083444,"Jesus Luzardo",19959,666200
"Jake Irvin","WSN",54,95.74872246696034,98.81280575539569,94.17703703703704,,94.76,95.7251282051282,76.749,,,93.83657142857143,104.80370186335405,96.01798757763974,"Jake Irvin",21504,663623
"Tarik Skubal","DET",54,117.87433962264151,111.38102564102563,,,112.14369565217393,,127.73013100436681,114.95384615384616,,118.84921316165955,111.36875536480684,128.91954220314736,"Tarik Skubal",22267,669373
"Luis Severino","ATH",53.2,101.57605263157895,93.49702702702703,95.74184397163118,,132.09148936170212,,98.77391304347827,,,106.64468427095296,94.5972675086108,100.06571756601605,"Luis Severino",15890,622663
