team,k_rate_delta,woba_delta,date
LAA,0.046614675999999966,-0.037190535920640394,2025-05-17
BAL,-0.008405043000000001,0.008518126286193223,2025-05-17
BOS,-0.0005179150000000077,0.01938426068250859,2025-05-17
CHW,-0.006051078999999987,0.029864762767326913,2025-05-17
CLE,0.017490703999999996,-0.041408247327988285,2025-05-17
DET,-0.035033167000000004,0.03203696669337891,2025-05-17
KCR,-0.019839141999999976,-0.008909227935140485,2025-05-17
MIN,-0.07572463700000004,0.06585490983370101,2025-05-17
NYY,-0.011329935999999985,0.019178627454727815,2025-05-17
ATH,0.00024390299999998977,-0.00787140517452084,2025-05-17
SEA,-0.045858549000000026,0.018673548852424504,2025-05-17
TBR,-0.020968303999999993,-0.013359981129618725,2025-05-17
TEX,0.00842696599999998,-0.008429826000211915,2025-05-17
TOR,-0.004722009999999999,-0.048960823792481734,2025-05-17
ARI,0.025534308000000006,0.006907415776392367,2025-05-17
ATL,-0.004038046999999989,0.0035987908445923034,2025-05-17
CHC,-0.00020703999999999168,-0.020225319581840873,2025-05-17
CIN,0.013244894000000007,0.003846327058428578,2025-05-17
COL,-0.02676174800000003,-0.007451295907583089,2025-05-17
MIA,-0.006431766999999977,-0.054175037797328296,2025-05-17
HOU,0.03580670199999997,0.023551528442597225,2025-05-17
LAD,-0.052443635000000016,0.10478091101338072,2025-05-17
MIL,0.012493492999999994,-0.009575273046300126,2025-05-17
WSN,-0.002982608999999997,0.0233920750083767,2025-05-17
NYM,-0.022067950000000003,0.028573987937606904,2025-05-17
PHI,-0.03475940500000002,-0.003984171187523533,2025-05-17
PIT,-0.01759803600000001,0.015653663653775796,2025-05-17
STL,-0.0038319279999999845,-0.022114159388798293,2025-05-17
SDP,0.034527586,-0.02563419496503827,2025-05-17
SFG,-0.026844473000000008,0.020717048068453425,2025-05-17
