team,k_rate_delta,woba_delta,date
LAA,0.016832944000000016,-0.007329370590537676,2025-05-17
BAL,0.019431416000000007,-0.021533159369462207,2025-05-17
BOS,-0.0073388920000000135,0.006398503019019508,2025-05-17
CHW,0.002405483000000014,0.009665942166557973,2025-05-17
CLE,0.002789820999999998,-1.9855189980266807e-05,2025-05-17
DET,-0.0073459959999999935,0.014643519660222093,2025-05-17
KCR,-0.024757469000000004,0.041849967501866814,2025-05-17
MIN,0.011495075999999993,0.015353565764383625,2025-05-17
NYY,-0.013220652,0.005157222475199619,2025-05-17
ATH,0.009547294999999983,0.006282656716920798,2025-05-17
SEA,0.0025981439999999967,0.0021231173423986727,2025-05-17
TBR,0.027978483000000026,-0.018767193879019928,2025-05-17
TEX,-0.016600997000000006,0.017906790562495167,2025-05-17
TOR,0.020009973999999986,0.014347368205766098,2025-05-17
ARI,-0.015176683999999996,-0.0020811530791856048,2025-05-17
ATL,-0.033661424999999995,-0.0017987954792573757,2025-05-17
CHC,0.0018642819999999949,-0.004342778229328104,2025-05-17
CIN,0.010678139000000003,-0.011345382754100297,2025-05-17
COL,-0.03293814400000003,-0.0021417949924302793,2025-05-17
MIA,-0.019068585,0.002724074556312406,2025-05-17
HOU,-0.020028925000000003,0.024151794858363607,2025-05-17
LAD,-0.003268007000000017,0.01794950266022488,2025-05-17
MIL,0.0027226909999999993,-0.014816860447723235,2025-05-17
WSN,0.007773340999999989,-0.0030494407442808735,2025-05-17
NYM,0.011605480000000001,0.019781658682965886,2025-05-17
PHI,0.006949807000000002,0.0025077046447679052,2025-05-17
PIT,-0.01908041499999999,0.00782742901870681,2025-05-17
STL,-0.01648422999999999,0.018419029226768413,2025-05-17
SDP,0.006168001000000006,-0.015248435693205109,2025-05-17
SFG,-0.010778510000000019,-0.002126117276877282,2025-05-17
